symptom,disease
Ho nặng kéo dài Đau ở ngực Ho ra máu,0
Giảm cân Chán ăn Sốt ớn lạnh Đổ mồ hôi vào ban đêm Ho dài ngày,0
Ho kéo dài khạc đờm màu trắng,0
Đau ở ngực Ho ra máu ho lâu ngày,0
Đổ mồ hôi vào ban đêm Ho lâu ngày,0
ớn lạnh Ho nặng Ho kéo dài,0
Ho khan Ho khạc đờm màu trắng Ho ra máu khó thở ho nhiều ngày,0
Ho kéo dài Đau ngực khó thở Sốt về chiều,0
Ho khan Ho khạc đờm màu trắng ho nhiều ngày,0
Ho ra máu khó thở ho kéo dài,0
Ho kéo dài Đau ngực,0
Ho khan Ho khạc đờm màu trắng Ho kéo dài sốt về chiều,0
Ho kéo dài Đau ngực khó thở,0
sốt cao rét run toàn thân môi tái nổi da gà. Khó thở thở nhanh tím tái,1
mặt đỏ da khô nóng mạch nhanh thở nhanh đau đầu khát nước sốt rét,1
vã mồ hôi khát nước sốt cao rét người,1
sốt hàng ngày đau đầu khát nước Sốt thành cơn dữ dội rét người sau khi hết sốt,1
sốt cao liên tục mất ngủ nhiều nhức đầu dữ dội nôn hoặc tiêu chảy nhiều rét người,1
Sốt thành cơn dữ dội nôn khan hoặc dịch màu vàng đau lưng. Vàng da niêm mạc do tán huyết. Tiểu ra huyết sắc tố nước tiểu màu đỏ nâu sau đó chuyển sang màu cà phê hoặc màu nước vôi đặc cảm thấy rét run khi hết sốt,1
 tụt huyết áp da xanh tái nhợt đổ mồ hôi nhiều nhức đầu dữ dội toàn thân lạnh. Sốt cao rồi rét,1
Khó thở thở nhanh tím tái sốt cao rét run toàn thân,1
sốt cao rét run đổ mồ hôi liên tục đau đầu đau cơ Nôn mửa tiêu chảy,1
sốt đau bụng dữ dội buồn nôn tiêu chảy thân nhiệt hạ khi hết sốt,1
Sốt cao đột ngột Chấm xuất huyết ngoài da chảy máu cam chảy máu chân răng vết bầm tím chỗ tiêm nôn ói ra máu đi cầu phân đen,2
Đau bụng buồn nôn chân tay lạnh người vật vã hốt hoảng ,2
chảy máu cam chảy máu chân răng Nôn liên tục Đau bụng dữ dội Lơ mơ rối loạn ý thức hoặc co giật,2
Đau phía sau mắt Sốt cao có xuất huyết dưới da,2
"Đau nhức đầu nghiêm trọng Sốt cao, máu dưới da",2
Đau khớp và cơ Sốt cao đột ngột,2
Sốt cao dưới da có máu,2
Phát ban sốt cao đột ngột,2
Buồn nôn và ói mửa sốt cao người mệt mỏi rũ rượi nhức đầu,2
Bệnh nhân có dấu hiệu sốt cao đột ngột liên tục 39 - 40 độ C kéo dài 2 - 7 ngày khó hạ sốt.,2
